gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE30528,logFC_GSE30528,g_GSE96804,logFC_GSE96804,g_GSE104948,logFC_GSE104948,stouffer_z,stouffer_p,neglog10fdr
HSPA1L,3,-2.0097786696171425,0.2448570672549303,-8.207966762603927,2.249654646012081e-16,0.0,0.3951080298454112,0.0,-0.5731197556059988,0,3,True,"GSE30528,GSE96804,GSE104948",2.8777582231786548e-12,-1.737936427014788,-0.4587190812649572,-2.10863242864005,-0.8271940975609757,-2.063234060112396,-0.4334460879920634,-8.451591935244329,2.873574170137161e-17,11.540945696414063
ERVMER34-1,3,-1.950781721997044,0.2431424255927201,-8.023205811332716,1.0302052711267427e-15,0.0,1.1492103796291548,0.0,-0.7873652171648358,0,3,True,"GSE30528,GSE96804,GSE104948",4.651254452425585e-12,-1.845317767528956,-0.9217120869230768,-2.1809853606911545,-0.8854300000000013,-1.56112343926401,-0.554953564571429,-8.405147434520991,4.273244228745813e-17,11.332429901240673
LPL,3,-1.911196278207976,0.2412242214022296,-7.922903708003475,2.3202726243671013e-15,0.0,0.1964259261724059,0.0,-1.78437185961201,0,3,True,"GSE30528,GSE96804,GSE104948",7.42023185272599e-12,-1.9507139318602245,-2.1655070502735043,-1.8293550387160469,-1.3066777682926825,-2.098106121011345,-1.8809307602698428,-8.345848195539388,7.07045799375971e-17,11.129582524534129
COL16A1,3,1.8758528257162863,0.2404119958564689,7.802659010560397,6.0616177455707256e-15,0.0,1.5763577008432332,0.0,0.7298821590666096,3,0,True,"GSE30528,GSE96804,GSE104948",1.5508042840268142e-11,1.7254306117431066,0.6761535062393162,1.7390926149578598,0.2680941463414643,2.5235100302374187,1.2453988246190484,8.128826482317862,4.3346627103163645e-16,10.809443007944273
ZBTB10,3,-1.8281978149180824,0.2386463222688125,-7.660699723077194,1.8492276529056763e-14,0.0,0.6206242708351669,0.0,-0.6781701726122366,0,3,True,"GSE30528,GSE96804,GSE104948",3.942553355994902e-11,-2.177235779649048,-1.0743090312478631,-1.6919040942057495,-0.4605321707317067,-1.8847969217383709,-0.4996693158571395,-7.95592975953417,1.777912504930742e-15,10.404222420495607
CCDC6,3,-1.7400249345892125,0.234646319690634,-7.415521951860667,1.211467363256112e-13,0.0,0.6403116192753326,0.0,-0.4811550969263785,0,3,True,"GSE30528,GSE96804,GSE104948",2.2138700729674547e-10,-1.4914911145260137,-0.4678818566666667,-1.7328881120064876,-0.5111590243902473,-2.0610292596884423,-0.4644244097222216,-7.622927370392166,2.4798642709403134e-14,9.65484787047131
ISLR,3,1.7287216014717477,0.2345656074664669,7.369885210980396,1.7077501708812014e-13,0.0,0.386724404641917,0.0,0.7254955204241492,3,0,True,"GSE30528,GSE96804,GSE104948",2.6464529457371117e-10,1.8606503937584071,0.4295118635811965,1.6071324035555057,0.7123765853658526,1.9375971022197247,1.0345981123253989,7.580192308255276,3.4504313410977666e-14,9.57733582341403
MMP28,3,-1.7321725121707356,0.2354022485719156,-7.358351598929417,1.8619509468131649e-13,0.0,0.9442582204610808,0.0,-0.6425819741905467,0,3,True,"GSE30528,GSE96804,GSE104948",2.6464529457371117e-10,-2.2036637562991688,-0.7643276223931624,-1.6016411898738707,-0.5283654268292697,-1.6800982697023228,-0.635052873349208,-7.641135626434464,2.1531410582644725e-14,9.57733582341403
SUCO,3,-1.7003841824522168,0.2331002343844168,-7.294648102532712,2.9944067684074805e-13,0.0,0.1775915753642721,0.0,-0.6333127381034823,0,3,True,"GSE30528,GSE96804,GSE104948",3.830445138146849e-10,-1.572821334560414,-0.8408237905982907,-1.7890956148165198,-0.6501368902439015,-1.6156790830296166,-0.4089775334682546,-7.533648984342162,4.934165611631267e-14,9.416750753496794
CLEC2D,3,1.6931853249768412,0.2335451584737332,7.249926892264277,4.1699664941390384e-13,0.0,0.4625865422546875,0.0,0.3814087951018645,3,0,True,"GSE30528,GSE96804,GSE104948",4.849291944820598e-10,2.0107829832555977,0.166503646094017,1.6028931557861106,0.7744629512195118,1.6451107868554966,0.2032597879920645,6.712950245985362,1.9072816258957594e-11,9.314321669007198
